EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 03:27:33;;Process Simple Event;L Rising;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:35;;Process Simple Event;LLL Rising;;;;FIT0932;Parlat mennyiseg;FIT0932;;;;;
 05-28-2021 03:27:35;;Process Simple Event;LL Rising;;;;FIT0932;Parlat mennyiseg;FIT0932;;;;;
 05-28-2021 03:27:35;;Process Simple Event;L Rising;;;;FIT0932;Parlat mennyiseg;FIT0932;;;;;
 05-28-2021 03:27:36;;Process Simple Event;LLL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:36;;Process Simple Event;LL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:36;;Process Simple Event;L Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:39;;Process Simple Event;LLL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:39;;Process Simple Event;LL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:39;;Process Simple Event;L Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:41;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:41;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:41;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:42;;Process Simple Event;LLL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:42;;Process Simple Event;LL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:42;;Process Simple Event;L Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:42;;Process Simple Event;LLL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:42;;Process Simple Event;LL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:42;;Process Simple Event;L Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:50;;Process Simple Event;HHH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:50;;Process Simple Event;HH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:50;;Process Simple Event;H Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:51;;Process Simple Event;LLL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:51;;Process Simple Event;LL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:51;;Process Simple Event;L Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:27:52;;Process Simple Event;HHH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:52;;Process Simple Event;HH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:52;;Process Simple Event;H Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:27:53;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:53;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:53;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:58;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:58;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:58;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:01;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:01;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:01;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:01;;Process Simple Event;LLL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:01;;Process Simple Event;LL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:01;;Process Simple Event;L Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:05;;Process Simple Event;LLL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:05;;Process Simple Event;LL Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:05;;Process Simple Event;L Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:07;;Process Simple Event;LLL Rising;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
